[INFO] -  * Running on http://0.0.0.0:5006/ (Press CTRL+C to quit)
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:51:27] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:51:37] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:51:47] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:51:57] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:52:07] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:52:17] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:52:27] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:52:37] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:52:47] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:52:57] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:53:07] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:53:17] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:53:27] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:53:37] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:53:47] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:53:58] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:54:08] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:54:18] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:54:28] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:54:38] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:54:48] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:54:58] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:54:58] "GET /necos/db/controller_pointer/5 HTTP/1.1" 200 -
[INFO] - Returning slice details...
[INFO] - 127.0.0.1 - - [24/Sep/2019 12:54:58] "GET /necos/db/slices/IoTService_sliced HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:01:08] "POST /necos/db/IoTService_sliced/dc-slice2/vdu HTTP/1.1" 201 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:32:54] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:33:04] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:33:14] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:33:24] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:33:34] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:33:44] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:33:54] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:34:04] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:34:14] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:34:25] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:34:35] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:34:45] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:34:55] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:35:05] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:35:15] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:35:25] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:35:35] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:35:45] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:35:55] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:36:05] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:36:15] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:36:25] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:36:35] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:36:45] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:36:55] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:37:05] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:37:15] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:37:26] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:37:36] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:37:46] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:37:56] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
[INFO] - 127.0.0.1 - - [24/Sep/2019 13:38:06] "GET /necos/db/IoTService_sliced/5-113/vdus HTTP/1.1" 200 -
